MicrotypeID,Population,PopulationGroupID
B_5,10107,LowIncNoVeh
B_5,609,HighIncNoVehSenior
D_5,9386,LowIncVeh
D_5,2073,LowIncVehSenior
D_2,4464,LowIncVeh
A_3,2866,HighIncNoVehSenior
A_4,1283,LowIncNoVehSenior
A_6,7710,LowIncVehSenior
C_3,76528,HighIncVeh
C_3,16769,HighIncVehSenior
C_3,76794,LowIncVeh
A_5,528,HighIncNoVehSenior
C_5,139,HighIncNoVeh
E_5,1565,LowIncVehSenior
E_5,5444,LowIncVeh
E_5,9933,HighIncVeh
E_5,148,LowIncNoVeh
E_5,3331,HighIncVehSenior
E_6,1046,LowIncVeh
B_2,4642,HighIncNoVeh
B_2,1357,HighIncNoVehSenior
B_4,1118,HighIncNoVeh
B_4,746,HighIncNoVehSenior
E_2,2897,LowIncVeh
E_2,333,HighIncVehSenior
E_2,1498,HighIncVeh
E_2,105,LowIncVehSenior
E_3,197,LowIncVehSenior
E_3,1777,LowIncVeh
E_3,999,HighIncVehSenior
E_3,13571,HighIncVeh
E_3,208,LowIncNoVehSenior
F_3,8288,LowIncNoVeh
F_3,310958,HighIncVeh
F_3,25254,HighIncVehSenior
F_2,13542,LowIncNoVehSenior
F_2,726906,HighIncVeh
F_3,110487,LowIncVeh
F_2,98484,LowIncVehSenior
F_2,503463,LowIncVeh
F_5,442528,HighIncVeh
F_2,67826,HighIncVehSenior
F_2,22832,LowIncNoVeh
F_5,197339,LowIncVeh
F_3,10923,LowIncNoVehSenior
F_3,42025,LowIncVehSenior
F_5,40839,LowIncVehSenior
F_1,4433,HighIncVeh
F_5,6554,LowIncNoVeh
F_1,7619,LowIncVehSenior
F_4,2412,HighIncVehSenior
F_1,8361,LowIncVeh
F_6,5194,LowIncVeh
F_4,2633,LowIncVehSenior
F_6,5170,LowIncVehSenior
F_5,3111,LowIncNoVehSenior
F_6,5269,HighIncVehSenior
B_3,5989,LowIncNoVehSenior
B_3,782,HighIncNoVeh
B_4,334,LowIncNoVehSenior
A_6,6227,HighIncVeh
A_6,681,HighIncVehSenior
A_6,1577,LowIncVeh
F_1,5244,LowIncNoVeh
F_4,1467,LowIncVeh
F_6,3906,HighIncVeh
B_3,248,HighIncNoVehSenior
C_3,13714,LowIncVehSenior
C_3,2380,LowIncNoVehSenior
C_2,1729,HighIncNoVehSenior
C_3,4072,LowIncNoVeh
B_5,109,HighIncNoVeh
C_1,687,LowIncNoVehSenior
C_3,2219,HighIncNoVeh
F_1,1652,LowIncNoVehSenior
C_6,58,LowIncNoVehSenior
D_2,3250,HighIncVeh
D_2,1711,HighIncVehSenior
D_2,1721,LowIncNoVeh
D_2,502,LowIncVehSenior
D_4,466,LowIncVehSenior
D_4,357,HighIncVehSenior
D_4,3305,HighIncVeh
D_4,6284,LowIncVeh
D_5,190,LowIncNoVeh
D_3,108,HighIncVehSenior
,432310,HighIncVehSenior
,2089288,HighIncVeh
,266002,LowIncVehSenior
,1495213,LowIncVeh
,15133,HighIncNoVeh
,103512,LowIncNoVeh
,28180,LowIncNoVehSenior
,267,HighIncNoVehSenior
