HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
4,other_time,D,home,3,4,0.19107435973340697
4,other_time,D,work,4,3,0.13884934833573
1,morning_rush,D,home,1,1,0.7450023297490491
1,morning_rush,D,social,1,1,0.5519929038384229
1,other_time,D,home,4,1,0.0649833054215168
1,morning_rush,D,home,4,1,0.0072567639069914406
1,other_time,D,work,3,4,0.00424465469751008
1,evening_rush,D,social,1,4,0.0294133548423679
1,other_time,D,work,1,3,0.10586535586145801
1,other_time,D,social,1,4,0.0299947416428177
4,other_time,B,home,3,4,0.179765245396576
4,morning_rush,B,medical,4,2,0.352535697447593
4,other_time,B,social,2,3,0.0186352546290335
2,morning_rush,D,work,2,2,0.34426022899007797
2,other_time,D,social,2,2,0.39585295403573706
2,other_time,D,home,2,2,0.520342642560269
2,other_time,D,social,2,3,0.101718270459495
2,other_time,D,home,3,2,0.180096437610583
3,morning_rush,D,other,3,3,0.47777947838984997
3,morning_rush,D,social,3,3,0.45881793529328396
3,evening_rush,D,home,3,3,0.45155763762939505
3,evening_rush,D,other,3,3,0.291378359765419
3,morning_rush,D,work,3,3,0.32078189440724
1,morning_rush,D,work,1,1,0.45659850961237
1,other_time,D,social,1,1,0.439385366588675
1,other_time,D,work,1,1,0.49288730594660496
1,other_time,D,home,1,1,0.5446323279136099
1,evening_rush,D,home,1,1,0.526357735557365
1,evening_rush,D,social,1,1,0.491339369988039
2,other_time,D,social,1,1,0.0266151827415519
2,other_time,D,home,1,2,0.0751846923576733
2,other_time,D,social,2,1,0.0434549794899311
2,other_time,D,social,4,1,0.0024727213778183896
2,evening_rush,D,social,2,4,0.09289294387172502
2,other_time,D,social,1,2,0.0175336063358777
2,evening_rush,D,social,2,2,0.39352769321927206
2,evening_rush,D,home,1,2,0.109494372432645
4,other_time,D,social,4,2,0.104468139372006
4,other_time,D,work,4,4,0.20829668461846804
4,other_time,D,home,2,4,0.21059431587420496
2,evening_rush,B,social,1,1,0.0242700331317409
2,evening_rush,B,home,1,2,0.10856307272149401
2,other_time,B,other,2,1,0.0503956591273657
2,morning_rush,B,social,2,2,0.525606167665888
2,morning_rush,B,other,2,1,0.0676223472674526
2,morning_rush,B,home,1,2,0.033869184215242
2,morning_rush,D,work,2,4,0.120564126537496
2,other_time,D,home,4,2,0.127117712876782
2,evening_rush,D,home,4,2,0.130215015116718
2,other_time,D,social,6,4,0.0017174676034878
2,other_time,D,social,2,4,0.0831329877299023
2,other_time,D,social,2,6,0.00859367905326126
2,other_time,B,social,2,2,0.439825354796441
2,other_time,B,home,2,2,0.560445965403988
4,morning_rush,D,school,4,2,0.22993141020600896
2,morning_rush,D,home,2,2,0.665749905701526
2,other_time,D,medical,2,2,0.41626713367815005
2,evening_rush,D,social,2,1,0.0447133304948548
2,morning_rush,D,social,2,2,0.517068482914105
3,other_time,B,social,3,3,0.305890488512192
3,other_time,B,social,3,4,0.10901894376221198
3,other_time,B,social,4,2,0.0139469922988533
3,other_time,B,school,2,2,0.0705667468627672
3,other_time,B,social,2,3,0.0550364185181061
3,other_time,B,home,3,3,0.44879759706942
3,other_time,B,home,2,3,0.250797380132223
3,other_time,B,medical,3,2,0.163137266348727
4,other_time,D,home,4,4,0.4465197187785301
4,other_time,D,social,4,4,0.31964406973749604
5,other_time,D,home,2,5,0.166209567263821
5,other_time,D,social,5,2,0.10574674176502301
5,evening_rush,D,home,1,5,0.0410307012739731
5,other_time,D,work,2,1,0.0230113808773332
2,other_time,D,work,1,1,0.0522452380156754
2,other_time,D,school,2,2,0.41623470526278794
2,morning_rush,D,work,2,1,0.151326977250417
3,other_time,D,other,3,2,0.11153207561907699
3,other_time,D,home,2,3,0.220991882615761
3,morning_rush,D,home,2,3,0.15631440063323998
3,morning_rush,D,other,3,2,0.19181462860875398
3,morning_rush,D,other,2,2,0.0182765681118445
3,other_time,D,social,2,2,0.0564213393474829
3,other_time,D,other,2,2,0.0410245681580281
3,other_time,D,home,2,2,0.0041257069604102
4,morning_rush,D,medical,4,4,0.26550474365261
4,morning_rush,D,home,6,4,0.019169046276183998
4,morning_rush,D,other,4,6,0.0205154379292393
4,other_time,D,other,4,4,0.401387891430265
2,other_time,D,work,4,2,0.0248555231717242
2,evening_rush,D,home,2,2,0.491011534502646
2,evening_rush,D,work,2,1,0.0432911007990971
2,other_time,D,school,1,1,0.00964465680169173
2,other_time,D,work,4,4,0.0267620787732202
2,other_time,D,social,4,4,0.0354025664549545
2,morning_rush,B,home,2,2,0.621099291931293
3,other_time,D,social,3,2,0.12940155988656402
3,other_time,D,work,2,2,0.0816529454872462
2,evening_rush,B,social,2,2,0.445161860678548
2,evening_rush,B,home,2,2,0.5084542490736871
6,evening_rush,B,home,6,6,0.47584091139728396
6,other_time,B,social,6,6,0.314653417135242
4,evening_rush,D,home,1,4,0.059031237353016
4,morning_rush,D,work,4,1,0.10467643605573101
4,other_time,D,social,4,1,0.0109812850263846
4,other_time,D,work,1,1,0.0460665436994415
4,other_time,D,social,1,4,0.00618407555096645
2,other_time,D,other,2,2,0.443710730908081
3,evening_rush,D,social,3,3,0.336155141422583
3,other_time,D,social,3,3,0.324608644168914
3,other_time,D,social,2,3,0.0395361594797319
4,other_time,D,social,2,2,0.0726983457019546
4,evening_rush,D,social,4,2,0.130923969731853
4,evening_rush,D,home,2,4,0.19757919690349898
4,evening_rush,D,social,2,2,0.0532548625753953
4,evening_rush,D,home,4,4,0.414069247643354
4,morning_rush,D,work,4,4,0.24451403928678603
6,other_time,B,home,4,6,0.174534027189717
6,other_time,B,medical,6,4,0.21129288421789702
3,evening_rush,B,home,5,3,0.014394532385691002
3,other_time,B,social,4,5,0.0016088328414095
3,other_time,B,social,4,4,0.0465428756334175
5,other_time,D,social,5,3,0.0893925548858008
5,other_time,D,home,5,5,0.25941403035115695
5,other_time,D,social,3,5,0.00902742982451267
5,other_time,D,home,3,5,0.21361721483121499
4,morning_rush,B,social,4,4,0.45375973112679896
4,morning_rush,B,work,4,4,0.308575088714769
4,other_time,B,social,4,2,0.10577705363090899
4,evening_rush,B,home,2,4,0.192055038106639
2,other_time,D,other,2,4,0.0858256787407236
2,evening_rush,D,other,2,4,0.0657389641496955
2,other_time,D,social,3,3,0.0480778592230407
3,evening_rush,B,school,3,3,0.403573862387193
3,other_time,D,social,2,6,0.000673036037563324
3,other_time,D,home,6,3,0.0177466473527304
3,evening_rush,D,home,6,6,5.76409680785811e-05
3,other_time,D,social,3,6,0.0143204839548347
3,morning_rush,D,home,3,3,0.594391246043986
2,other_time,D,other,1,1,0.0231455449613709
2,other_time,D,work,1,2,0.0131422203432171
4,other_time,D,social,2,4,0.0353067368038253
3,other_time,D,work,3,1,0.0434663773997725
4,other_time,B,home,4,4,0.470133225210498
4,evening_rush,B,home,4,4,0.461638795825274
4,other_time,B,social,4,3,0.104479860427761
4,evening_rush,B,social,3,4,0.0385461960472367
4,other_time,B,social,4,4,0.3388786017291369
4,other_time,D,social,1,3,0.00441485586669661
4,other_time,D,work,3,2,0.0210406788380027
4,evening_rush,D,social,4,3,0.126141435072714
4,morning_rush,D,work,4,2,0.21633516566258396
4,evening_rush,D,social,2,4,0.0366679434409389
4,other_time,D,social,2,1,0.00348049847139187
3,evening_rush,D,home,1,3,0.0716883952485366
3,morning_rush,D,work,3,1,0.112617789039914
2,other_time,D,social,3,1,0.00604024219805663
2,other_time,D,work,2,3,0.162071661127581
2,other_time,D,work,1,3,0.0171951215336085
2,evening_rush,D,home,3,2,0.185973254380675
3,evening_rush,D,home,4,3,0.173314411281646
3,other_time,D,social,3,4,0.119429087682887
1,morning_rush,D,work,3,3,0.00897062163895492
1,other_time,D,work,4,2,0.00958284003703432
