MicrotypeID,DiameterInMiles
A_1,0.877364822168862
A_2,1.29611727922697
A_3,3.04676933952712
A_4,1.9594941395028702
A_5,2.7166728669251
A_6,4.37245303689019
B_1,0.938205808207518
B_2,1.44061875401254
B_3,3.5974163881377406
B_4,2.41748215599638
B_5,3.07229993332543
B_6,8.42529939532505
C_1,0.68077583507389
C_2,1.60510982120377
C_3,4.68380878188695
C_4,2.40263976961126
C_5,4.24736033064228
C_6,10.667711984838
D_1,0.885063824230817
D_2,1.90905517099125
D_3,4.03245951719573
D_4,2.6516762435302406
D_5,4.03773346126424
D_6,11.765847001365099
E_1,1.0747366957608
E_2,1.6205396002110202
E_3,3.6091914997519905
E_4,2.20885973950013
E_5,3.9224887823753
E_6,11.512789985643499
F_1,0.7766793608571559
F_2,1.4915266655656698
F_3,4.36239985580748
F_4,1.7404304882246298
F_5,4.2244456995674105
F_6,11.7257726463551
