HomeMicrotypeID,TimePeriodID,PopulationGroupTypeID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
A_1,6,HighIncVeh,work,A_1,A_2,0.122021508055821
A_1,17,HighIncVeh,leisure,C_2,C_5,0.0109161853744441
A_1,10,LowIncVehSenior,leisure,A_1,A_4,0.0936502764127154
A_1,17,LowIncVeh,home,A_1,A_2,0.0097127070831924
A_1,11,LowIncVehSenior,leisure,A_4,B_2,0.0656130016094991
A_1,18,HighIncVeh,home,A_2,A_2,0.0008251392265283
A_1,9,HighIncVeh,work,A_5,A_3,0.0022279541364896
A_1,8,HighIncVeh,leisure,A_2,A_5,0.0028173446843723
A_1,15,HighIncVeh,leisure,A_2,A_2,0.0417801526406402
A_1,23,HighIncVehSenior,leisure,A_3,A_2,0.5
A_1,13,HighIncVehSenior,medical,A_1,A_3,0.337717481648565
A_1,21,HighIncVeh,home,A_1,A_4,0.0021482492680795
A_1,13,HighIncNoVehSenior,leisure,A_1,A_2,0.145181075119731
A_1,19,HighIncNoVehSenior,home,A_2,A_1,1.0
A_1,5,LowIncNoVehSenior,leisure,A_1,A_2,1.0
A_1,7,LowIncNoVehSenior,home,A_2,A_1,0.559468861830986
A_1,10,HighIncVehSenior,medical,A_1,A_1,0.843804826986873
A_1,21,HighIncNoVeh,home,A_3,A_1,0.225261453205218
A_1,14,HighIncVeh,leisure,B_3,A_3,0.0068089387462121
A_1,12,HighIncVeh,leisure,B_3,B_1,0.0053617258621827
A_1,20,HighIncVeh,other,A_3,A_2,0.0529477140724528
A_1,13,HighIncVeh,leisure,B_1,B_3,0.0060800447749307
A_1,18,HighIncVeh,leisure,C_5,C_5,0.0094330054064275
A_1,18,HighIncVeh,leisure,C_3,C_5,0.0010622522434286
A_1,12,HighIncVehSenior,leisure,A_3,A_5,0.0032175375454456
A_1,16,HighIncVeh,leisure,C_3,C_2,0.0013001045343287
A_1,21,LowIncNoVehSenior,home,A_1,A_1,1.0
A_1,11,LowIncNoVehSenior,school,A_1,A_1,1.0
A_1,20,HighIncVeh,medical,A_1,A_1,1.0
A_1,18,LowIncNoVehSenior,school,A_1,A_1,1.0
A_1,17,LowIncNoVehSenior,school,A_1,A_1,1.0
A_1,9,LowIncNoVehSenior,leisure,A_1,A_2,0.125105629119294
A_1,19,HighIncVeh,medical,A_1,A_1,0.986575452784169
A_1,17,HighIncVehSenior,school,A_1,A_1,0.117880891158758
A_1,12,HighIncVehSenior,other,A_1,A_2,0.0921235734002113
A_1,13,LowIncVeh,medical,A_1,A_1,0.0811547548002237
A_1,13,HighIncVeh,leisure,A_4,A_3,0.0184288837934475
A_1,15,HighIncVeh,home,A_1,A_5,0.0095364241312601
A_1,13,HighIncVehSenior,home,A_5,A_1,0.0085040740590196
A_1,20,HighIncVeh,home,C_2,A_1,0.001366830391721
A_1,12,HighIncVehSenior,leisure,A_2,A_3,0.008444856940023
A_1,13,HighIncVeh,leisure,A_1,C_2,0.0102611910594522
A_1,19,HighIncVeh,leisure,C_5,C_3,0.0015450473650561
A_1,20,HighIncVeh,leisure,C_3,C_2,0.0027976326276533
A_1,12,HighIncVeh,leisure,A_1,C_2,0.0010189976336936
A_1,17,HighIncVeh,leisure,C_2,C_3,0.0012292733762014
A_1,16,HighIncVeh,leisure,C_2,C_2,0.0128452842947027
A_1,16,HighIncVeh,leisure,C_2,C_3,0.0013001045343287
A_1,10,HighIncVehSenior,leisure,A_2,A_3,0.0040037997890235
A_1,11,LowIncNoVehSenior,leisure,A_2,A_2,0.138557158782851
A_1,22,HighIncVeh,work,A_2,A_3,0.234165730668513
A_1,16,HighIncVehSenior,leisure,A_1,A_5,0.001375506139361
A_1,16,HighIncVeh,other,A_3,A_3,0.191539419255212
A_1,15,LowIncNoVeh,home,A_3,A_1,0.23523154570426
A_1,16,LowIncVehSenior,leisure,A_3,A_3,0.126610681000662
A_1,13,HighIncVeh,leisure,A_3,A_1,0.0264491591246825
A_1,6,HighIncVeh,work,A_1,A_4,0.0259978537619001
A_1,16,LowIncVeh,leisure,A_3,A_3,0.019170993402723
A_1,10,LowIncVeh,leisure,A_1,A_4,0.0027295209214541
A_1,20,LowIncVeh,other,A_4,A_1,0.0886162069742507
A_1,16,HighIncVeh,medical,A_1,A_2,0.238144244839199
A_1,11,HighIncVeh,work,A_2,A_3,0.0131640102199904
A_1,17,HighIncVeh,home,B_5,C_5,0.0036775023267662
A_1,8,HighIncVeh,leisure,C_5,B_5,0.0128214167929557
A_1,10,HighIncVeh,leisure,A_2,C_5,0.0021929747800805
A_1,15,HighIncVeh,leisure,A_2,A_4,0.0016810581311552
A_1,19,HighIncVeh,other,A_4,A_3,0.0140865894832754
A_1,17,HighIncVeh,leisure,A_4,A_4,0.0016770214830931
A_1,18,HighIncVeh,home,C_5,A_1,0.0007850988422364
A_1,6,HighIncVeh,leisure,C_5,C_5,0.036511800839369
A_1,13,HighIncVeh,leisure,C_5,A_2,0.0018477489548007
A_1,14,HighIncVeh,leisure,C_5,A_1,0.0071208829402484
A_1,14,HighIncVeh,work,A_1,C_5,0.0028471458431534
A_1,9,LowIncNoVeh,leisure,A_2,A_3,0.0226514327255978
A_1,16,LowIncVehSenior,home,A_3,A_1,0.319720334893497
A_1,19,HighIncVeh,school,A_1,A_1,0.567553756819345
A_1,17,LowIncVehSenior,leisure,A_3,A_1,0.127073626842155
A_1,23,LowIncVeh,other,A_1,A_3,1.0
A_1,12,LowIncVeh,medical,A_1,A_3,0.539789841343896
A_1,8,HighIncVeh,leisure,A_2,A_2,0.0143482996600947
A_1,10,HighIncVeh,other,A_3,A_3,0.101122415106429
A_1,20,HighIncVehSenior,work,A_1,A_1,1.0
A_1,10,HighIncVehSenior,other,A_1,A_5,0.101740611139531
A_1,14,HighIncVehSenior,leisure,A_5,A_5,0.0134770475099066
A_1,12,HighIncVehSenior,leisure,A_5,A_5,0.0086220279070178
A_1,12,HighIncVeh,home,A_4,A_1,0.0089832488616928
A_1,23,LowIncNoVeh,leisure,A_1,A_1,0.49372501896619
A_1,13,LowIncNoVeh,leisure,A_1,A_2,0.37157911792773
A_1,18,HighIncNoVeh,home,B_3,A_1,0.0608418886084855
A_1,20,HighIncVeh,home,A_1,A_2,0.0019918637245544
A_1,11,HighIncVeh,school,A_2,A_3,0.0674758580359934
A_1,19,HighIncVeh,home,A_1,A_2,0.0016951319838743
A_1,6,HighIncVehSenior,other,A_1,A_3,0.853733673118479
A_1,11,HighIncVeh,other,A_3,A_2,0.0156568189521522
A_1,9,HighIncVeh,school,A_2,A_3,0.0218691861805765
A_1,6,LowIncVeh,medical,A_1,A_3,1.0
A_1,10,HighIncVeh,other,A_1,A_1,0.45582866010796
A_1,10,HighIncVeh,medical,A_1,A_1,0.980268157438752
A_1,16,LowIncVehSenior,other,A_1,A_3,0.87339831019102
A_1,7,HighIncNoVeh,leisure,A_1,B_3,0.28657659060062
A_1,15,HighIncVeh,leisure,B_3,B_5,0.0069989928126913
A_1,9,HighIncVeh,leisure,B_5,B_3,0.0096340798508807
A_1,17,HighIncNoVehSenior,home,A_2,A_1,0.285671578648437
A_1,23,HighIncVeh,leisure,A_3,A_1,0.111949547132721
A_1,5,HighIncVehSenior,work,A_1,A_1,0.750813561119969
A_1,12,HighIncVehSenior,medical,A_1,A_1,0.529421606217125
A_1,19,HighIncVeh,home,A_5,A_1,0.0235116342390923
A_1,14,HighIncVeh,work,A_1,A_5,0.0120987200869231
A_1,7,HighIncVehSenior,work,A_1,A_1,0.202870696462168
A_1,18,HighIncVeh,leisure,A_3,A_1,0.0353044513369601
A_1,14,HighIncVeh,work,A_2,A_3,0.0179195536599541
A_1,13,HighIncVeh,leisure,A_3,A_2,0.0299744108693818
A_1,11,HighIncVeh,work,A_5,A_5,0.0591381221811245
A_1,10,HighIncVeh,leisure,A_5,A_5,0.0116878779677346
A_1,13,HighIncVeh,work,A_2,A_1,0.0405369346811893
A_1,12,HighIncVehSenior,leisure,A_1,A_5,0.0657808542012152
A_1,14,HighIncVehSenior,other,A_5,A_2,0.373105524151542
A_1,15,HighIncVehSenior,other,A_1,A_2,0.292320342118037
A_1,7,HighIncVehSenior,other,A_1,A_2,0.408889855236316
A_1,8,HighIncVehSenior,home,A_2,A_1,0.252209443134911
A_1,8,HighIncVeh,leisure,A_2,A_3,0.0190105244533906
A_1,10,HighIncVeh,leisure,A_3,A_1,0.0180140670308486
A_1,11,HighIncVeh,other,A_1,A_2,0.0819236061778823
A_1,14,HighIncNoVeh,work,A_1,A_1,1.0
A_1,17,LowIncVeh,leisure,A_2,A_1,0.0215403992671301
A_1,12,LowIncVeh,work,A_2,A_2,0.162939488390998
A_1,21,LowIncVeh,home,A_3,A_1,0.15628853479928
A_1,9,HighIncVeh,school,A_1,A_1,0.321094467506001
A_1,16,HighIncVeh,work,A_2,A_2,0.109450487449448
A_1,19,LowIncNoVehSenior,leisure,A_1,A_1,1.0
A_1,17,LowIncNoVehSenior,leisure,A_2,A_1,1.0
A_1,19,LowIncVeh,other,A_1,A_3,0.526934243564397
A_1,13,LowIncVeh,home,A_3,A_1,0.114795261598846
A_1,7,LowIncVeh,leisure,A_3,A_1,0.0870723257141517
A_1,13,LowIncVeh,other,A_1,A_3,0.123108740644562
A_1,12,LowIncVehSenior,leisure,A_1,A_3,0.137108916491501
A_1,13,LowIncVeh,other,A_3,A_3,0.0510051530253108
A_1,12,LowIncVeh,other,A_1,A_3,0.0501106236363261
A_1,18,HighIncNoVeh,work,A_1,A_1,1.0
A_1,15,LowIncVeh,work,A_1,A_1,0.550741703005613
A_1,7,HighIncVeh,school,A_3,A_1,0.0199537058786061
A_1,8,HighIncVeh,work,A_2,A_3,0.0221742496543557
A_1,16,HighIncVeh,work,A_2,A_3,0.0635353533244487
A_1,12,HighIncVeh,medical,A_1,A_1,0.499368784468039
A_1,14,HighIncVeh,medical,A_1,A_1,0.364476303601914
A_1,7,HighIncVeh,other,A_2,A_3,0.0056519962206112
A_1,14,HighIncVehSenior,work,A_1,A_1,0.34239435505766
A_1,8,HighIncVehSenior,work,A_1,A_1,0.512405880832283
A_1,12,HighIncVehSenior,other,A_1,A_3,0.390613537170705
A_1,13,HighIncVeh,leisure,A_1,A_2,0.0453956134014158
A_1,4,LowIncNoVeh,other,A_1,A_1,1.0
A_1,12,HighIncNoVeh,home,A_1,A_1,0.799709499629597
A_1,9,HighIncNoVeh,work,A_1,A_1,0.638832893115145
A_1,13,HighIncNoVeh,leisure,A_1,A_1,0.987648666299599
A_1,21,HighIncVeh,school,A_2,A_2,1.0
A_1,14,HighIncVeh,leisure,A_3,A_2,0.0436099028742939
A_1,23,HighIncVehSenior,leisure,A_2,A_3,0.5
A_1,0,HighIncVehSenior,home,A_2,A_3,0.661038675559039
A_1,15,HighIncVehSenior,leisure,A_3,A_2,0.0225484995342836
A_1,17,HighIncVeh,leisure,A_1,A_4,0.0015396820576455
A_1,22,HighIncVehSenior,leisure,A_1,A_2,0.121292908444031
A_1,19,HighIncVeh,work,A_3,A_1,0.0889504921132104
A_1,21,HighIncVeh,leisure,A_2,A_1,0.0663315349460344
A_1,18,HighIncVeh,leisure,A_4,A_1,0.0013304857581432
A_1,19,LowIncVeh,leisure,A_3,A_2,0.0694116357072305
A_1,5,HighIncNoVeh,work,A_1,A_1,1.0
A_1,11,HighIncVehSenior,home,A_2,A_3,0.0152485784195175
A_1,18,HighIncVehSenior,home,A_3,A_3,0.0211313389633759
A_1,8,HighIncVehSenior,school,A_1,A_1,1.0
A_1,15,HighIncVeh,home,B_3,A_1,0.0028864282259615
A_1,15,LowIncVehSenior,school,A_1,A_3,1.0
A_1,8,HighIncNoVehSenior,home,A_1,A_1,1.0
A_1,14,LowIncVehSenior,leisure,A_5,A_2,0.0267969620816439
A_1,15,HighIncNoVehSenior,leisure,A_1,A_2,0.48111521258149
A_1,14,LowIncVehSenior,leisure,A_1,A_5,0.0267969620816439
A_1,16,LowIncVehSenior,leisure,A_3,A_1,0.0236579244558415
A_1,9,HighIncVehSenior,leisure,A_3,A_2,0.0150908357314869
A_1,7,HighIncVeh,home,C_5,C_5,0.0246318926805861
A_1,14,LowIncVehSenior,leisure,A_1,A_2,0.0494284262837003
A_1,17,LowIncVehSenior,other,A_1,A_3,0.291367235566248
A_1,17,HighIncNoVeh,leisure,A_1,A_1,0.799058327261235
A_1,7,HighIncNoVeh,home,A_1,A_1,1.0
A_1,14,HighIncNoVeh,home,A_1,A_1,1.0
A_1,18,HighIncVeh,leisure,C_3,B_1,0.0040032371499889
A_1,13,HighIncVeh,medical,A_2,A_1,0.0428921220062518
A_1,0,HighIncVeh,home,A_4,A_1,0.0253007052547064
A_1,23,HighIncVeh,leisure,B_1,C_3,0.105021313627613
A_1,21,HighIncVeh,leisure,A_1,A_4,0.0183759530828808
A_1,9,LowIncVehSenior,leisure,A_1,A_3,0.0862248961829057
A_1,17,LowIncVehSenior,home,A_3,A_1,0.0894541709999637
A_1,17,LowIncVehSenior,leisure,A_1,A_3,0.112298807519241
A_1,15,LowIncVehSenior,leisure,A_1,A_3,0.10079341042867
A_1,15,LowIncNoVeh,leisure,A_2,A_1,0.121109803295702
A_1,14,LowIncVeh,work,A_5,A_5,0.0290197543357103
A_1,15,LowIncVeh,other,A_5,A_5,0.0281868792705665
A_1,13,LowIncVeh,other,A_1,A_5,0.0432499190053971
A_1,16,LowIncVeh,work,A_5,A_5,0.0840721637812654
A_1,19,HighIncVehSenior,work,A_2,A_2,1.0
A_1,22,HighIncVehSenior,home,A_3,A_2,0.0038493992583369
A_1,18,LowIncVeh,work,A_5,A_2,0.2936164501281
A_1,17,LowIncVehSenior,other,A_1,A_1,0.708632764433752
A_1,19,LowIncVeh,leisure,A_3,A_1,0.0619104557219145
A_1,14,LowIncNoVeh,leisure,A_1,A_2,0.0942444856173714
A_1,16,HighIncVeh,leisure,A_2,A_2,0.0294621393574262
A_1,7,HighIncVeh,leisure,C_5,C_5,0.0229226657388212
A_1,8,HighIncNoVehSenior,leisure,A_1,A_1,1.0
A_1,17,HighIncNoVeh,leisure,A_2,C_5,0.0731270834663513
A_1,13,LowIncNoVeh,work,A_1,A_1,0.41814455785069
A_1,18,HighIncVeh,work,A_2,A_1,0.0464160515990829
A_1,7,HighIncNoVeh,work,A_1,A_2,0.0752809768211937
A_1,18,HighIncNoVeh,other,A_2,A_1,1.0
A_1,21,HighIncNoVeh,home,A_1,A_1,0.700253173092321
A_1,7,HighIncNoVeh,other,A_1,A_1,1.0
A_1,19,HighIncNoVeh,leisure,A_1,A_1,0.898136209993059
A_1,10,HighIncVeh,leisure,A_5,A_1,0.0040790976396075
A_1,12,HighIncNoVeh,leisure,A_1,A_1,0.845660809385975
