SubnetworkID,Dedicated,Length,MFD,MicrotypeID,ModesAllowed,Type,a,avgLinkLength,b,capacityFlow,k_jam,smoothingFactor,vMax,waveSpeed
80,False,16100110.880787082,rural,C_5,Auto-Bus-Bike,Road,-147.41,50.0,0.11,,0.5,,,
81,True,3220022.1761574163,fixed,C_5,Walk,Sidewalk,,,,,,,1.35,
82,True,0.0,bottleneck,C_5,Bus,Road,,50.0,,0.4,,,17.0,
83,True,0.0,fixed,C_5,Bike,Road,,,,,0.15,,5.0,
84,True,249447.21626693403,fixed,C_5,Rail,Rail,,,,,,,20.0,
85,False,7398837.172656679,rural,C_6,Auto-Bus-Bike,Road,-226.65,50.0,0.1,,,,,
86,True,1479767.434531336,fixed,C_6,Walk,Sidewalk,,,,,,,1.35,
87,True,0.0,bottleneck,C_6,Bus,Road,,50.0,,0.4,,,17.0,
88,True,0.0,fixed,C_6,Bike,Road,,,,,0.15,,5.0,
89,True,37971.5478178298,fixed,C_6,Rail,Rail,,,,,,,20.0,
