HomeMicrotypeID,TimePeriodID,PopulationGroupID,TripPurposeID,OriginMicrotypeID,DestinationMicrotypeID,Portion
1,23,HighIncVeh,leisure,3,1,0.0375747897038591
1,22,LowIncNoVeh,leisure,2,2,0.0078453702607672
1,11,LowIncVehSenior,work,1,1,0.461873028935596
1,11,HighIncVehSenior,leisure,1,5,0.0042752329421066
1,13,HighIncVeh,home,1,4,0.0057681018803893
1,13,HighIncVeh,leisure,1,4,0.0038262359207539
1,13,HighIncVeh,work,6,3,0.0076493129288331
1,13,LowIncNoVeh,other,2,2,0.388216973274878
1,16,HighIncVeh,work,6,6,0.0155048066286437
1,13,HighIncVeh,leisure,6,1,0.0024062325771534
1,7,HighIncVeh,work,6,3,0.0021351112111879
1,15,HighIncVeh,work,3,6,0.0184441955840121
1,16,LowIncNoVeh,school,2,2,0.0286819173724835
1,9,HighIncVeh,work,3,6,0.0050537502017371
1,17,HighIncVeh,leisure,5,5,0.0292648290500201
1,13,HighIncVeh,leisure,1,6,0.0059832098907161
1,6,HighIncVeh,other,1,6,0.0127477182875144
1,18,HighIncNoVehSenior,leisure,1,2,0.33639011206301
1,9,HighIncVeh,home,1,3,0.0006505240212075
1,20,LowIncVeh,home,1,2,0.001209341349141
1,19,HighIncVeh,leisure,3,3,0.0146786626460735
1,13,HighIncVeh,school,5,2,0.0346492685673143
1,12,HighIncVeh,leisure,2,5,0.0079044958941338
1,21,HighIncNoVehSenior,home,2,1,0.265670134779828
1,12,HighIncVehSenior,home,2,1,0.111832563140153
1,18,HighIncVeh,home,6,1,0.0052484533729683
1,20,LowIncNoVehSenior,leisure,1,1,1.0
1,22,LowIncNoVehSenior,home,1,1,1.0
1,5,HighIncVeh,work,2,1,0.0147515244534383
1,14,HighIncVehSenior,work,3,1,0.0398150297826303
1,7,HighIncVehSenior,leisure,1,6,0.037758519094101
1,11,HighIncVehSenior,home,1,1,0.712303184599976
1,22,HighIncVeh,other,3,3,0.0861672869320373
1,21,HighIncVeh,leisure,3,1,0.069865414556536
1,13,HighIncNoVeh,work,3,1,0.0228902505255964
1,17,HighIncNoVeh,school,1,1,0.851672273939839
1,9,HighIncVeh,work,3,2,0.0582897110077679
1,13,HighIncNoVeh,leisure,2,1,0.002241119331095
1,19,HighIncNoVeh,other,1,1,0.40959112766811
1,13,HighIncNoVeh,work,1,2,0.0483376031636444
1,10,HighIncVeh,medical,2,2,0.0727369651956947
1,8,HighIncVeh,other,2,3,0.0073973480230708
1,8,HighIncNoVeh,other,1,1,1.0
1,12,LowIncNoVeh,home,3,1,0.0787453299939568
1,8,LowIncNoVeh,leisure,1,3,0.0065272753246803
1,22,LowIncNoVeh,home,1,1,0.818307011879785
1,11,LowIncNoVeh,leisure,1,3,0.020036380115073
1,9,LowIncNoVeh,home,3,1,0.177104875429351
1,14,LowIncNoVeh,work,1,1,0.563586240220819
1,13,HighIncNoVehSenior,work,1,1,1.0
1,19,LowIncNoVehSenior,other,1,1,1.0
1,10,LowIncVehSenior,home,2,1,0.126608352150754
1,8,HighIncVeh,school,2,2,0.016062287495147
1,4,HighIncVeh,leisure,1,2,0.0975091742011842
1,19,HighIncVehSenior,other,2,1,0.256456023548143
1,15,HighIncVeh,school,1,1,0.338835897072766
1,5,LowIncVeh,other,1,1,0.187272512631781
1,19,LowIncVeh,leisure,2,1,0.0022826506617775
1,6,HighIncVeh,work,2,1,0.0067000412922988
1,5,HighIncVeh,leisure,1,2,0.178993634200331
1,8,HighIncVeh,work,1,5,0.0069681967928723
1,21,HighIncVeh,work,1,1,0.540420028009714
1,20,LowIncNoVeh,home,3,1,0.205831437004973
1,12,HighIncNoVeh,leisure,3,3,0.0535225519894147
1,12,HighIncNoVeh,work,3,3,0.0911467130701654
1,11,LowIncNoVeh,work,1,3,0.0134898917449113
